,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,20.69368586177104,,,,,,,
1,PLF,1.014,3.7456908264393074,20.077213852231143,75.20303574676238,0.001,10.83984084647656,0.09679365584115222,440.1267237572498,440.223517413091,0.12496905221085988
2,Payload,1.014,30,19.91168586177104,597.3505758531312,0.0,10.674312856016458,1.1054275,3418.228648443547,3419.3340759435473,1.1343750000000001
3,PAF, ,7,19.67968586177104,137.75780103239728,0.0,10.442312856016459,0.2646875,763.2932844804862,763.5579719804863,0.529375
17,Forward Skirt 2,0.32083333333333336,1.4967725498946876,19.519269195104375,29.2159063252372,0.001,10.281896189349792,0.06943578097854915,158.23488627378504,158.3043220547636,0.11319342408578577
18,Avionics 2, ,0.84,19.519269195104375,16.396186123887674,0.0,10.281896189349792,0.031762500000000006,88.80260696879525,88.83436946879524,0.06352500000000001
19,Wiring 2,2.4589921038848916,2.75084392597316,0,0,0.0,0,1.3861140731281487,0.0,1.3861140731281487,0
20,Fuel Dome Top 2,0.1375,0.9181355812166575,19.417209340904737,17.82763078381708,0.001,10.179836335150155,0.031245301498279383,95.1455344050818,95.17677970658008,0.01840001088232008
21,Fuel Cylinder 2,0.5598718269551083,2.7086893965116587,19.078916614960153,51.67885913187268,0.001,9.841543609205571,0.17317700085239437,262.35276767217886,262.52594467303123,0.20484463561119423
22,Fuel Dome Bottom 2,0.1375,0.9181355812166575,18.74062388901557,17.206433606704085,0.001,9.503250883260987,0.031245301498279383,82.91845618813592,82.9497014896342,0.01840001088232008
23,Fuel Insulation 2,0.8348718269551083,1.822853824176859,19.078916614960153,34.77807611273153,0.0,9.841543609205571,0.046457406997710664,176.55429465279255,176.60075205979027,0.051945413350052615
24,Fuel Residual 2, ,1.443853004487545,18.730230701482597,27.043699873080506,0.0,9.492857695728015,0,130.1118709974079,130.1118709974079,0
25,Intertank 2,0.41250000000000003,1.9244218498645982,18.592730701482598,35.780257210581446,0.001,9.355357695728015,0.10005490164725706,168.43063013786863,168.5306850395159,0.14553440239601026
26,Ox Dome Top 2,0.1375,0.9181355812166575,18.444837513949626,16.934861611316947,0.001,9.207464508195043,0.031245301498279383,77.83714987415735,77.86839517565562,0.01840001088232008
27,Ox Cylinder 2,0.8449536102631167,4.087930084125243,17.964003896351038,73.43559195923649,0.001,8.726630890596455,0.3977885062137435,311.3125820529238,311.7103705591376,0.30914971261197155
28,Ox Dome Bottom 2,0.1375,0.9181355812166575,17.48317027875245,16.051920705392174,0.001,8.245797272997867,0.031245301498279383,62.426951105728634,62.458196407226914,0.01840001088232008
29,Ox Insulation 2,1.1199536102631167,2.376027857101879,17.964003896351038,42.68297368281676,0.0,8.726630890596455,0.11397424022518737,180.9442314330441,181.0582056732693,0.08784613481921728
30,Ox Residual 2, ,5.125678165930784,17.472777091219477,89.55983203463927,0.0,8.235404085464895,0,347.63313179950444,347.63313179950444,0
31,Pressurant Tank 2,0.27496223007113335,0.6412977553248245,17.964003896351038,11.520275375376322,0.001,8.726630890596455,0.048498142746439855,48.83744485997885,48.88594300272529,0.03233209516429324
