,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,21.03968586177104,,,,,,,
1,PLF,1.36,5.4256355067978745,20.246560728119093,109.85045877702238,0.001,14.356888824264868,0.27832567620775295,1118.3333834885557,1118.6117091647634,0.23111795008659952
2,Payload,1.36,95,20.084685861771042,1908.045156868249,0.0,14.195013957916817,6.990218750000001,19142.35002021806,19149.34023896806,3.5921875000000005
3,PAF, ,14,20.084685861771042,281.1856020647946,0.0,14.195013957916817,0.529375,2820.9778977163455,2821.5072727163456,1.05875
30,Forward Skirt 3,0.32083333333333336,1.4967725498946876,19.519269195104375,29.2159063252372,0.001,13.62959729125015,0.06943578097854915,278.04933323691967,278.1187690178982,0.11319342408578577
31,Avionics 3, ,0.84,19.519269195104375,16.396186123887674,0.0,13.62959729125015,0.031762500000000006,156.04337475018886,156.07513725018887,0.06352500000000001
32,Wiring 3,2.4589921038848916,2.9509462033099902,0,0,0.0,0,1.4869429787824195,0.0,1.4869429787824195,0
33,Fuel Dome Top 3,0.1375,0.9181355812166575,19.417209340904737,17.82763078381708,0.001,13.527537437050512,0.031245301498279383,168.0135496293647,168.04479493086296,0.01840001088232008
34,Fuel Cylinder 3,0.5598718269551083,2.7086893965116587,19.078916614960153,51.67885913187268,0.001,13.189244711105928,0.17317700085239437,471.1932495228218,471.3664265236742,0.20484463561119423
35,Fuel Dome Bottom 3,0.1375,0.9181355812166575,18.74062388901557,17.206433606704085,0.001,12.850951985161345,0.031245301498279383,151.62730646378165,151.65855176527992,0.01840001088232008
36,Fuel Insulation 3,0.8348718269551083,1.822853824176859,19.078916614960153,34.77807611273153,0.0,13.189244711105928,0.046457406997710664,317.0966807508968,317.1431381578945,0.051945413350052615
37,Fuel Residual 3, ,1.443853004487545,18.730230701482597,27.043699873080506,0.0,12.840558797628372,0,238.062411527069,238.062411527069,0
38,Intertank 3,0.41250000000000003,1.9244218498645982,18.592730701482598,35.780257210581446,0.001,12.703058797628373,0.10005490164725706,310.53953316157435,310.6395880632216,0.14553440239601026
39,Ox Dome Top 3,0.1375,0.9181355812166575,18.444837513949626,16.934861611316947,0.001,12.5551656100954,0.031245301498279383,144.72771641339747,144.75896171489575,0.01840001088232008
40,Ox Cylinder 3,0.8449536102631167,4.087930084125243,17.964003896351038,73.43559195923649,0.001,12.074331992496813,0.3977885062137435,595.977254649913,596.3750431561267,0.30914971261197155
41,Ox Dome Bottom 3,0.1375,0.9181355812166575,17.48317027875245,16.051920705392174,0.001,11.593498374898225,0.031245301498279383,123.40587315761424,123.43711845911251,0.01840001088232008
42,Ox Insulation 3,1.1199536102631167,2.376027857101879,17.964003896351038,42.68297368281676,0.0,12.074331992496813,0.11397424022518737,346.39989679527736,346.5138710355025,0.08784613481921728
43,Ox Residual 3, ,5.125678165930784,17.472777091219477,89.55983203463927,0.0,11.583105187365252,0,687.7036580180704,687.7036580180704,0
44,Pressurant Tank 3,0.27496223007113335,0.6412977553248245,17.964003896351038,11.520275375376322,0.001,12.074331992496813,0.048498142746439855,93.49447465254912,93.54297279529555,0.03233209516429324
45,Aft Skirt 3,0.32083333333333336,1.4967725498946876,17.381110424552812,26.01556897015905,0.001,11.491438520698587,0.06943578097854915,197.65354392968405,197.7229797106626,0.11319342408578577
46,Thrust Structure 3,0.16041666666666668,0.9702538265263181,17.300902091219477,16.786266456362878,0.0,11.411230187365252,0,126.34274147658053,126.34274147658053,0
47,Gimballs 3, ,0.05284261287635648,17.58169233543342,0.929062561792512,0.0,11.692020431579195,0,7.2237617681866375,7.2237617681866375,0
48,Engines 3,0.3609985775472779,25.83180430797633,17.289443757886144,446.61752774747777,0.0,11.399771854031918,0,3356.966919187538,3356.966919187538,0
49,Fuel 3,0.8348718269551083,72.45105418841655,19.065329408517744,1381.3032140965308,0.0,13.17565750466352,0,12577.354531728952,12577.354531728952,0
50,Oxidizer 3,1.1199536102631167,257.2012423688787,17.92346493033963,4609.937447638381,0.0,12.033793026485405,0,37245.87121836206,37245.87121836206,0
17,Nose Cone 2,,,,,,,,,,
18,Forward Skirt 2,0.9788768505873561,4.566719999022913,16.731255332592465,76.40695833610877,0.001,10.84158342873824,0.5373316494966704,536.7719546879512,537.3092863374478,0.3453581999261079
19,Avionics 2, ,0.84,16.731255332592465,14.05425447937767,0.0,10.84158342873824,0.031762500000000006,98.73354224352494,98.76530474352494,0.06352500000000001
20,Wiring 2,16.24181690729879,17.78015234588785,0,0,0.0,0,390.86200240121667,0.0,390.86200240121667,1.344624021157769
21,Pressurant Tank 2,0.5491282730400782,2.5577685708770237,16.653881043818824,42.59677351700443,0.001,10.7642091399646,0.3868624963451499,296.36403625442097,296.7508987507661,0.19343124817257495
22,SRM Dome Top 2,0.1375,8.523303953636809,16.300173719765816,138.93133511064678,0.001,10.41050181591159,0.2900586876722027,923.7433071615314,924.0333658492036,0.6445748614937837
23,Solid Propellant Casing 2,15.69181690729879,704.7660639905483,8.395908453649394,5917.151354503454,0.001,2.506236549795168,14488.044407861935,4426.7918547623085,18914.836262624245,53.29793358928523
24,SRM Dome Bottom 2,0.1375,8.523303953636809,0.6083568124670283,5.185210024922109,0.001,-5.281315091387198,0.2900586876722027,237.73445791525342,238.02451660292562,0.6445748614937837
25,Solid Propellant Residual 2, ,121.93589303741281,8.395908453649394,1023.7625951561025,0.0,0,0,0.0,0.0,0
26,Aft Skirt 2,0.55,2.5658957998194643,0.275,0.7056213449503528,0.001,-5.614671903854226,0.16170489155112253,80.88868628580789,81.05039117735902,0.194045869861347
27,Gimballs 2, ,3.146968795276433,0.275,0.8654164187010192,0.0,-5.614671903854226,0,99.20674551564119,99.20674551564119,0
28,Nozzle 2,0.275,0,0.06875,0.0,0.0,-5.820921903854226,0,0.0,0.0,0
29,Solid Propellant 2,15.69181690729879,6253.5210907327,8.395908453649394,52503.99059075746,0.0,2.506236549795168,122442.1587784161,39279.75202337649,161721.91080179258,0
4,Nose Cone 1,0.55,5.737517431577514,8.447327478614438,48.46668865879407,0.001,2.5576555747602123,0.20489710688810672,37.53255572979069,37.73745283667879,0.43389975576304957
5,Forward Skirt 1,0.68592261765164,12.800043371880111,7.921032836455286,101.3895638567142,0.001,2.0313609326010598,0.9858591670681016,52.818447623679916,53.804306790748015,0.9680032799984336
6,Avionics 1, ,3.36,7.921032836455286,26.61467033048976,0.0,2.0313609326010598,0.12705000000000002,13.864795521352764,13.991845521352765,0.25410000000000005
7,Wiring 1,7.578071527629466,79.94988198243463,0,0,0.0,0,382.60794253425126,0.0,382.60794253425126,6.04620982492162
8,Pressurant Tank 1,0.54842261765164,10.204796365277591,7.989782836455285,81.53410684881618,0.001,2.1001109326010594,1.543475450248236,45.00790668379197,46.55138213404021,0.771737725124118
9,SRM Dome Top 1,0.1375,33.65623800853799,7.636428340096494,257.01344974943225,0.001,1.7467564362422676,1.1453638497280587,102.69050145013634,103.8358652998644,2.545252999395686
10,Solid Propellant Casing 1,7.028071527629466,1246.4231836649426,4.064035763814733,5065.508395262146,0.001,-1.8256361400394931,5177.594062805472,4154.2628043697705,9331.856867175244,94.2607532646613
11,SRM Dome Bottom 1,0.1375,33.65623800853799,0.6083568124670283,20.475001674505815,0.001,-5.281315091387198,1.1453638497280587,938.7495203679172,939.8948842176452,2.545252999395686
12,Solid Propellant Residual 1, ,225.587085911498,4.064035763814733,916.7939849990746,0.0,0,0,0.0,0.0,0
13,Aft Skirt 1,0.55,10.263583199277857,0.275,2.822485379801411,0.001,-5.614671903854226,0.6468195662044901,323.55474514323157,324.20156470943607,0.776183479445388
14,Gimballs 1, ,0,0.275,0.0,0.0,-5.614671903854226,0,0.0,0.0,0
15,Nozzle 1,0.275,0,0.06875,0.0,0.0,-5.820921903854226,0,0.0,0.0,0
16,Solid Propellant 1,7.028071527629466,11381.72544667116,4.064035763814733,46255.73926919181,0.0,-1.8256361400394931,42365.243411181895,37934.69127686349,80299.93468804538,0
