,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,12.741742500949837,,,,,,,
1,PLF,1.36,7.652035599957601,11.888605621822782,90.97203345204399,0.001,6.806409128978238,0.4071950939918041,354.497423674447,354.9046187684388,0.5648991162422539
2,Payload,1.36,30,11.611742500949838,348.3522750284951,0.0,6.529546008105294,2.04775,1279.0491321589134,1281.0968821589133,3.0375
3,PAF, ,7,11.381742500949837,79.67219750664886,0.0,6.299546008105294,0.70875,277.7899593576474,278.4987093576474,1.4175
25,Forward Skirt 2,0.525,4.171171105987508,11.119242500949838,46.380263040430236,0.001,6.037046008105294,0.5181376608218857,152.02218722200374,152.54032488282562,0.8446621489624704
26,Avionics 2, ,0.84,11.119242500949838,9.340163700797863,0.0,6.037046008105294,0.08505,30.614576583343254,30.699626583343253,0.1701
27,Wiring 2,3.0975129185217085,5.131620767651973,0,0,0.0,0,4.102981517797905,0.0,4.102981517797905,0
28,Fuel Dome Top 2,0.225,2.467259027635459,10.952235466804975,27.022001828263832,0.001,5.8700389739604315,0.22482897889328124,85.01522649804606,85.24005547693935,0.13239928757048786
29,Fuel Cylinder 2,0.4007615861063326,3.184085996869446,10.656361707896671,33.93077209168957,0.001,5.574165215052128,0.36500500475277436,98.93374805357989,99.29875305833266,0.6447774143660628
30,Fuel Dome Bottom 2,0.225,2.467259027635459,10.360487948988368,25.562007422849934,0.001,5.278291456143824,0.22482897889328124,68.73872644038832,68.9635554192816,0.13239928757048786
31,Fuel Insulation 2,0.8507615861063327,0.0,10.656361707896671,0.0,0.0,5.574165215052128,0,0.0,0.0,0
32,Fuel Residual 2, ,7.1328841406878585,10.343480914843504,73.77885097699478,0.0,5.26128442199896,0,197.44617740068136,197.44617740068136,0
33,Intertank 2,0.675,5.362934279126796,10.118480914843506,54.2647481509045,0.001,5.036284421998962,0.7466210066721837,136.0263273044274,136.77294831109958,1.0859941915231763
34,Ox Dome Top 2,0.225,2.4584787463983226,9.876473880698644,24.281101125055777,0.001,4.7942773878541,0.22402887576554717,56.50836919277982,56.732398068545365,0.13192811572860003
35,Ox Cylinder 2,0.9717513324153758,7.69317405452124,9.295105248635819,71.50886253284928,0.001,4.212908755791275,1.3843229793558331,136.54307044441094,137.92739342376677,1.5578677460405512
36,Ox Dome Bottom 2,0.225,2.4584787463983226,8.713736616572994,21.422536273557537,0.001,3.631540123728451,0.22402887576554717,32.42262340903155,32.6466522847971,0.13192811572860003
37,Ox Insulation 2,1.4217513324153759,5.057563474156423,9.295105248635819,47.01058479394017,0.0,4.212908755791275,0.37375835290957954,89.76467201115418,90.13843036406375,0.4018188930483291
38,Ox Residual 2, ,16.690948889209587,8.69672958242813,145.15666896358496,0.0,3.6145330895835865,0,218.0647345102174,218.0647345102174,0
39,Pressurant Tank 2,0.4498110283907806,1.7861436789238263,9.295105248635819,16.60239348478255,0.001,4.212908755791275,0.36169409498207483,31.701550029510255,32.06324412449233,0.24112939665471655
40,Aft Skirt 2,0.525,4.171171105987508,8.546729582428132,35.6498714849129,0.001,3.464533089583588,0.5181376608218857,50.06652310808293,50.58466076890482,0.8446621489624704
