,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,14.77552291022091,,,,,,,
1,PLF,1.2,5.70737772545165,14.031218363265028,80.08146314744698,0.001,7.896342953966368,0.21891748767655514,355.8677403152673,356.0866578029439,0.30418420568524407
2,Payload,1.2,95,13.805522910220912,1311.5246764709866,0.0,7.670647500922252,4.926541666666667,5589.689142923455,5594.615684590121,6.50275
3,PAF, ,14,13.805522910220912,193.27732074309276,0.0,7.670647500922252,0.9582999999999999,823.743663167667,824.701963167667,1.9165999999999999
46,Forward Skirt 3,0.43166666666666664,2.819917651405876,13.359689576887577,37.67322445516838,0.001,7.224814167588917,0.23681107064011128,147.1938916855107,147.4307027561508,0.3860467264774644
47,Avionics 3, ,0.84,13.359689576887577,11.222139244585565,0.0,7.224814167588917,0.057497999999999994,43.846269395202576,43.90376739520258,0.11499599999999999
48,Wiring 3,1.6983287985733901,2.49424118974222,0,0,0.0,0,0.5995159595399177,0.0,0.5995159595399177,0
49,Fuel Dome Top 3,0.185,1.6679889426335521,13.222372682146245,22.05477142919988,0.001,7.087497272847585,0.10275645881093996,83.78745070403306,83.890207162844,0.06051213685533134
50,Fuel Cylinder 3,0.01636774008356054,0.10692435330175101,13.135672373512463,1.404523273721497,0.001,7.000796964213803,0.007321359095669972,5.24048638806333,5.2478077471589994,0.014637943967009712
51,Fuel Dome Bottom 3,0.185,1.6679889426335521,13.048972064878681,21.765541116951752,0.001,6.914096655580021,0.10275645881093996,79.73776532014243,79.84052177895337,0.06051213685533134
52,Fuel Insulation 3,0.38636774008356056,0.0,13.135672373512463,0.0,0.0,7.000796964213803,0,0.0,0.0,0
53,Fuel Residual 3, ,1.8100303809383758,13.034988503470684,23.59372520646439,0.0,6.900113094172024,0,86.17837137327122,86.17837137327122,0
54,Intertank 3,0.5549999999999999,3.6256084089504115,12.849988503470684,46.58902637309942,0.001,6.715113094172024,0.3412377314399015,163.48863134872968,163.82986908016957,0.4963457911853113
55,Ox Dome Top 3,0.185,1.6620530389231123,12.651004942062686,21.0266412093866,0.001,6.516129532764026,0.10239077746285832,70.57067910356615,70.67306988102901,0.06029679117257214
56,Ox Cylinder 3,0.2636277251564965,1.7160530358421424,12.440674640892436,21.348857485427818,0.001,6.305799231593776,0.12740257704582636,68.23559524647754,68.36299782352337,0.2349276606067893
57,Ox Dome Bottom 3,0.185,1.6620530389231123,12.230344339722185,20.327480976911342,0.001,6.095468930423525,0.10239077746285832,61.753150990159355,61.85554176762221,0.06029679117257214
58,Ox Insulation 3,0.6336277251564966,2.0214638159542986,12.440674640892436,25.148373632624295,0.0,6.305799231593776,0.04448150622141524,80.3796758432739,80.42415734949532,0.04803007024602133
59,Ox Residual 3, ,4.235471091395799,12.216360778314188,51.742042918611226,0.0,6.081485369015528,0,156.6466293460909,156.6466293460909,0
