,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,13.939423709086121,,,,,,,
1,PLF,1.24,6.169854518805068,13.1678705456425,81.24384558907254,0.001,8.013084634831486,0.2572768559159736,396.1634302234039,396.42070707931987,0.35844006937494577
2,Payload,1.24,95,12.929423709086121,1228.2952523631816,0.0,7.774637798275107,5.287541666666667,5742.27432496496,5747.561866631627,7.22475
3,PAF, ,14,12.929423709086121,181.0119319272057,0.0,7.774637798275107,1.0647000000000002,846.229900521152,847.294600521152,2.1294000000000004
46,Forward Skirt 3,0.455,3.010368328449348,12.471923709086122,37.54508412866938,0.001,7.317137798275107,0.2808736366450085,161.17664222381813,161.45751586046313,0.45787702275714587
47,Avionics 3, ,0.84,12.471923709086122,10.476415915632343,0.0,7.317137798275107,0.06388200000000001,44.974024669514876,45.037906669514875,0.12776400000000002
48,Wiring 3,1.894870734289634,2.6460690248047123,0,0,0.0,0,0.7917336424753201,0.0,0.7917336424753201,0
49,Fuel Dome Top 3,0.195,1.8465907028502953,12.327184279493908,22.763263882835766,0.001,7.172398368682893,0.12638990065658848,94.99471647384026,95.12110637449685,0.07442960816443546
50,Fuel Cylinder 3,0.10852535992651194,0.7446183620657266,12.190161029122866,9.07701773882292,0.001,7.035375118311851,0.05735905407710167,36.856005033064505,36.91336408714161,0.11325645287019703
51,Fuel Dome Bottom 3,0.195,1.8465907028502953,12.053137778751823,22.257212162416778,0.001,6.898351867940809,0.12638990065658848,87.87418910901094,88.00057900966753,0.07442960816443546
52,Fuel Insulation 3,0.4985253599265119,0.0,12.190161029122866,0.0,0.0,7.035375118311851,0,0.0,0.0,0
53,Fuel Residual 3, ,1.4399435602436073,12.038398349159609,17.33461417851965,0.0,6.883612438348594,0,68.23045874179691,68.23045874179691,0
54,Intertank 3,0.585,3.8704735651491613,11.843398349159608,45.839560231953485,0.001,6.688612438348594,0.4047305826156914,173.15545181424488,173.56018239686057,0.5886990292591875
55,Ox Dome Top 3,0.195,1.8465907028502953,11.633658919567393,21.48260640100456,0.001,6.478873008756379,0.12638990065658848,77.51211364781447,77.63850354847106,0.07442960816443546
56,Ox Cylinder 3,0.29134537436312197,1.9989900572603094,11.405225661978047,22.798932699104245,0.001,6.250439751167033,0.16616307120777304,78.0965377259298,78.26270079713758,0.3040463877092931
57,Ox Dome Bottom 3,0.195,1.8465907028502953,11.176792404388701,20.63896094163197,0.001,6.0220064935776865,0.12638990065658848,66.96580341750648,67.09219331816307,0.07442960816443546
58,Ox Insulation 3,0.6813453743631219,2.2829673403232467,11.405225661978047,26.03775769531246,0.0,6.250439751167033,0.056293397274934515,89.1909613922621,89.24725478953702,0.0621929290261635
59,Ox Residual 3, ,5.111799638864806,11.162052974796486,57.05817836555451,0.0,6.007267063985472,0,184.47083025506976,184.47083025506976,0
60,Pressurant Tank 3,0.3883470601779719,1.2792448597303216,11.405225661978047,14.590076302149772,0.001,6.250439751167033,0.19457314316498195,49.97753444834729,50.17210759151227,0.12971542877665462
