,Item,Height (m),Mass (kg),Distance (m),Moment (kg*m),Thickness (m),Distance from CM (m),J0 (kg m^2),m*CM^2 (kg m^2),Jpitch/yaw,Jroll
0,TopOfPLF,,,13.939423709086121,,,,,,,
1,PLF,1.24,6.169854518805068,13.1678705456425,81.24384558907254,0.001,7.518480260357889,0.2572768559159736,348.76673157980883,349.0240084357248,0.35844006937494577
2,Payload,1.24,95,12.929423709086121,1228.2952523631816,0.0,7.28003342380151,5.287541666666667,5034.894231908378,5040.181773575045,7.22475
3,PAF, ,14,12.929423709086121,181.0119319272057,0.0,7.28003342380151,1.0647000000000002,741.9844131233399,743.0491131233399,2.1294000000000004
46,Forward Skirt 3,0.455,3.010368328449348,12.471923709086122,37.54508412866938,0.001,6.82253342380151,0.2808736366450085,140.12350115030793,140.40437478695293,0.45787702275714587
47,Avionics 3, ,0.84,12.471923709086122,10.476415915632343,0.0,6.82253342380151,0.06388200000000001,39.099448347866556,39.163330347866555,0.12776400000000002
48,Wiring 3,1.894870734289634,2.6460690248047123,0,0,0.0,0,0.7917336424753201,0.0,0.7917336424753201,0
49,Fuel Dome Top 3,0.195,1.8465907028502953,12.327184279493908,22.763263882835766,0.001,6.6777939942092965,0.12638990065658848,82.34489480572148,82.47128470637807,0.07442960816443546
50,Fuel Cylinder 3,0.10852535992651194,0.7446183620657266,12.190161029122866,9.07701773882292,0.001,6.540770743838254,0.05735905407710167,31.856025920256563,31.913384974333663,0.11325645287019703
51,Fuel Dome Bottom 3,0.195,1.8465907028502953,12.053137778751823,22.257212162416778,0.001,6.403747493467212,0.12638990065658848,75.72495823015039,75.85134813080698,0.07442960816443546
52,Fuel Insulation 3,0.4985253599265119,0.0,12.190161029122866,0.0,0.0,6.540770743838254,0,0.0,0.0,0
53,Fuel Residual 3, ,1.4399435602436073,12.038398349159609,17.33461417851965,0.0,6.389008063874997,0,58.7776667796251,58.7776667796251,0
54,Intertank 3,0.585,3.8704735651491613,11.843398349159608,45.839560231953485,0.001,6.194008063874997,0.4047305826156914,148.4935665904406,148.89829717305628,0.5886990292591875
55,Ox Dome Top 3,0.195,1.8465907028502953,11.633658919567393,21.48260640100456,0.001,5.984268634282782,0.12638990065658848,66.12912956512778,66.25551946578437,0.07442960816443546
56,Ox Cylinder 3,0.29134537436312197,1.9989900572603094,11.405225661978047,22.798932699104245,0.001,5.755835376693436,0.16616307120777304,66.22582272691238,66.39198579812016,0.3040463877092931
57,Ox Dome Bottom 3,0.195,1.8465907028502953,11.176792404388701,20.63896094163197,0.001,5.52740211910409,0.12638990065658848,56.41736080424075,56.54375070489734,0.07442960816443546
58,Ox Insulation 3,0.6813453743631219,2.2829673403232467,11.405225661978047,26.03775769531246,0.0,5.755835376693436,0.056293397274934515,75.63388813388669,75.69018153116161,0.0621929290261635
59,Ox Residual 3, ,5.111799638864806,11.162052974796486,57.05817836555451,0.0,5.512662689511875,0,155.34477916896958,155.34477916896958,0
60,Pressurant Tank 3,0.3883470601779719,1.2792448597303216,11.405225661978047,14.590076302149772,0.001,5.755835376693436,0.19457314316498195,42.38092280505126,42.57549594821624,0.12971542877665462
61,Aft Skirt 3,0.455,3.010368328449348,11.032052974796487,33.21054287310276,0.001,5.382662689511876,0.2808736366450085,87.21957506486967,87.50044870151469,0.45787702275714587
62,Thrust Structure 3,0.2275,1.0902101142170162,10.918302974796488,11.903244333208866,0.0,5.268912689511876,0,30.265803686796392,30.265803686796392,0
63,Gimballs 3, ,0.05894474234688644,11.187217243583508,0.6594276380016749,0.0,5.537826958298896,0,1.8076895021916297,1.8076895021916297,0
64,Engines 3,0.38266426878701937,26.305545309944538,10.902052974796488,286.7844484999247,0.0,5.252662689511877,0,725.7822358552486,725.7822358552486,0
65,Fuel 3,0.4985253599265119,72.2875294722287,12.177824562133887,880.3048519428839,0.0,6.528434276849276,0,3080.9273323896914,3080.9273323896914,0
66,Oxidizer 3,0.6813453743631219,256.6207296264119,11.360199008899267,2915.262558364971,0.0,5.710808723614655,0,8369.258151138303,8369.258151138303,0
25,Forward Skirt 2,0.7201642687870194,5.149043546573447,10.435897456250752,53.73489044981018,0.001,4.78650717096614,0.6786244327364511,117.96793915265228,118.64656358538873,0.9129254208074722
26,Avionics 2, ,0.84,10.435897456250752,8.766153863250631,0.0,4.78650717096614,0.08505,19.244946754076636,19.329996754076635,0.1701
27,Wiring 2,2.8327142684172735,4.3356953020265205,0,0,0.0,0,2.899232524136275,0.0,2.899232524136275,0
28,Fuel Dome Top 2,0.225,2.4584787463983226,10.179881671864605,25.027022731128955,0.001,4.530491386579993,0.22402887576554717,50.46114215556791,50.68517103133346,0.13192811572860003
29,Fuel Cylinder 2,0.4680671504086846,3.705600329198793,9.850355130805125,36.5014792154365,0.001,4.200964845520514,0.44284606087331746,65.39682604448858,65.8396721053619,0.7503840666627557
30,Fuel Dome Bottom 2,0.225,2.4584787463983226,9.520828589745646,23.406754735991186,0.001,3.8714383044610345,0.22402887576554717,36.84776437977638,37.07179325554193,0.13192811572860003
31,Fuel Insulation 2,0.9180671504086846,0.0,9.850355130805125,0.0,0.0,4.200964845520514,0,0.0,0.0,0
32,Fuel Residual 2, ,3.9955180363117915,9.503821555600782,37.97269043929171,0.0,3.8544312703161703,0,59.359974747484095,59.359974747484095,0
33,Intertank 2,0.675,5.152997350050659,9.278821555600784,47.81374288760377,0.001,3.6294312703161724,0.7173938498273652,67.87925583849776,68.59664968832512,1.0434819633852586
34,Ox Dome Top 2,0.225,2.4584787463983226,9.036814521455922,22.216816436143112,0.001,3.3874242361713103,0.22402887576554717,28.21016582934546,28.434194705111008,0.13192811572860003
35,Ox Cylinder 2,0.7896471180085888,6.25148895385762,8.54649799659649,53.42833781988923,0.001,2.897107711311878,0.9578023811394913,52.47020395518083,53.42800633632032,1.265926513156168
36,Ox Dome Bottom 2,0.225,2.4584787463983226,8.056181471737057,19.805950925393514,0.001,2.4067911864524456,0.22402887576554717,14.241091705088436,14.465120580853984,0.13192811572860003
37,Ox Insulation 2,1.2396471180085888,4.479344771283121,8.54649799659649,38.28271111383616,0.0,2.897107711311878,0.2545822469320174,37.59618476007486,37.85076700700688,0.30749294113614817
38,Ox Residual 2, ,14.184089028906861,8.039174437592195,114.02836594171993,0.0,2.389784152307583,0,81.00630114106409,81.00630114106409,0
39,Pressurant Tank 2,0.44861287002333305,1.7070926568482279,8.54649799659649,14.589663971757957,0.001,2.897107711311878,0.34568626301176614,14.328026576763918,14.673712839775684,0.23045750867451079
40,Aft Skirt 2,0.9,6.870663133400878,7.701674437592195,52.91561062382064,0.001,2.0522841523075837,1.1594244037613983,28.938341593091838,30.097765996853237,1.3913092845136779
41,Thrust Structure 2,0.45,2.6199616983666423,7.476674437592195,19.58860065764851,0.0,1.827284152307584,0,8.747966630074924,8.747966630074924,0
42,Gimballs 2, ,0.1341006130541516,7.844886957534889,1.052004150345947,0.0,2.195496672250278,0,0.6463925310843781,0.6463925310843781,0
43,Engines 2,0.5932125199426941,32.346963081275696,7.364174437592196,238.20867865686895,0.0,1.7147841523075842,0,95.11574967630895,95.11574967630895,0
